# uuidna alpine catalogue — GENERATED by scripts/gen-alpine-catalogue. DO NOT EDIT.
# branch=latest-stable arch=x86_64 repos=main,community packages=28641
# repo	name	version	checksum	desc	deps	provides
community	2bwm	0.3-r3	Q1yFfIXLlEDxSVpgJ4hdUnoD0hgL0=	Fast floating window manager	so:libc.musl-x86_64.so.1 so:libxcb-ewmh.so.2 so:libxcb-icccm.so.4 so:libxcb-keysyms.so.1 so:libxcb-randr.so.0 so:libxcb-xrm.so.0 so:libxcb.so.1	cmd:2bwm=0.3-r3 cmd:hidden=0.3-r3
community	2bwm-doc	0.3-r3	Q1b2On7K3tn7CXe226b2vVuPeLJoY=	Fast floating window manager (documentation)		
community	6tunnel	0.14-r0	Q1PcVLiP5PvutQuXBIvlwbz1nL7P8=	TCP proxy for non-IPv6 applications	so:libc.musl-x86_64.so.1	cmd:6tunnel=0.14-r0
community	6tunnel-doc	0.14-r0	Q1LtKbTfK+9KVn3b24VeFxSBqA5tI=	TCP proxy for non-IPv6 applications (documentation)		
community	81voltd	1.2.0-r0	Q1AjkNbxaNcu87UNI5O6fcgmMcDNA=	Server-side implementation of IMS Data service on QMI/QRTR	so:libc.musl-x86_64.so.1 so:libgio-2.0.so.0 so:libglib-2.0.so.0 so:libgobject-2.0.so.0 so:libmm-glib.so.0 so:libqmi-glib.so.5 so:libqrtr.so.1	cmd:81voltd=1.2.0-r0
community	81voltd-doc	1.2.0-r0	Q1K3A1WZKw/VUYMuwm/PcCxcibG4c=	Server-side implementation of IMS Data service on QMI/QRTR (documentation)		
community	81voltd-openrc	1.2.0-r0	Q1BQV3+Crl+ZlIpoyfGALKZF189H0=	Server-side implementation of IMS Data service on QMI/QRTR (OpenRC init scripts)		
community	81voltd-systemd	1.2.0-r0	Q1Ejz0LH6m+hGvRSQISpJ2dKn+e2Y=	Server-side implementation of IMS Data service on QMI/QRTR (systemd files)		
community	R	4.6.0-r0	Q13gk64mAO4nBDHFV38LKI3BR9/kQ=	Language and environment for statistical computing	R-mathlib tzdata /bin/sh openblas so:libX11.so.6 so:libXmu.so.6 so:libXt.so.6 so:libbz2.so.1 so:libc.musl-x86_64.so.1 so:libcairo.so.2 so:libcurl.so.4 so:libdeflate.so.0 so:libgobject-2.0.so.0 so:libgomp.so.1 so:libicui18n.so.78 so:libicuuc.so.78 so:libjpeg.so.8 so:liblzma.so.5 so:libpango-1.0.so.0 so:libpangocairo-1.0.so.0 so:libpcre2-8.so.0 so:libpng16.so.16 so:libreadline.so.8 so:libtcl8.6.so so:libtiff.so.6 so:libtk8.6.so so:libz.so.1 so:libzstd.so.1	cmd:R=4.6.0-r0 cmd:Rscript=4.6.0-r0 so:libR.so=0
community	R-dev	4.6.0-r0	Q1jOUoIv6I3C2OlY8ON0bgAiGZ27w=	Language and environment for statistical computing (development files)	R=4.6.0-r0 bzip2-dev curl-dev>=7.28 gcc gfortran icu-dev libdeflate-dev libjpeg-turbo libpng-dev make musl-dev openblas-dev>=0.3.0 pcre2-dev readline-dev xz-dev zlib-dev pkgconfig	pc:libR=4.6.0 pc:libRmath=4.6.0
